h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23,h24,h25,h26,h27,h28,h29,h30,h31,h32,h33,h34,h35,h36,h37,h38,h39,h40,h41,h42,h43,h44,h45,h46,h47,h48,label
0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,33.333,33.333,33.333,0,0,0,0,0,0,0,0,33.333,66.667,0,0,0,0,0,0,0,0,0,100,0,0,100,0,0,0,0,100,0,0,0
0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,19.826,34.677,45.497,0,0,0,0,0,0,0,0,34.677,32.661,32.661,0,0,0,0,0,0,0,0,100,0,0,100,0,0,0,0,100,0,0,0
0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,47.913,4.1736,47.913,0,0,0,0,0,0,0,0,4.1736,52.087,43.74,0,0,0,0,0,0,0,0,100,0,0,100,0,0,0,0,100,0,0,0
0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,6.0349,6.0349,87.93,0,0,0,0,0,0,0,0,6.0349,53.017,40.948,0,0,0,0,0,0,0,0,100,0,0,100,0,0,0,0,100,0,0,0
0,0,0,0,0,100,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,100,0,0,100,0,0,0,0,100,0,0,0
0,0,0,0,17.062,53.673,29.265,0,0,0,0,0,0,0,12.204,41.469,0,46.327,0,0,0,0,0,0,46.327,0,24.407,12.204,0,17.062,0,0,0,0,0,0,19.186,80.814,0,0,100,0,0,0,0,100,0,0,0
0,0,0,0,0,73.253,26.747,0,0,0,0,0,0,0,0,28.875,42.249,15.502,13.374,0,0,0,0,0,0,40.121,15.502,31.004,0,13.374,0,0,0,31.624,5.1282,10.256,29.915,23.077,0,0,100,0,0,0,0,100,0,0,0
0,0,0,0,12.381,70.887,16.732,0,0,0,0,0,0,0,12.381,19.198,37.081,31.34,0,0,0,0,0,0,16.732,0,19.198,51.689,0,12.381,0,0,0,39.85,4.5113,13.534,22.556,19.549,0,0,100,0,0,0,0,100,0,0,0
0,0,0,0,18.369,59.922,21.709,0,0,0,0,0,0,0,18.369,24.95,20.827,35.855,0,0,0,0,0,0,32.514,0,24.95,24.167,0,18.369,0,0,0,0,0,0,0,100,0,0,100,0,0,0,0,100,0,0,0
0,5.4651,0,6.4947,0,76.675,0,0,11.365,0,0,11.365,0,0,0,19.945,9.0149,28.195,5.0404,11.96,6.4947,7.9853,13.885,5.4651,11.96,11.365,15.971,18.03,0,16.83,6.4947,0,0,0,0,0,0,100,0,0,100,0,0,0,0,100,0,0,0
0,0,0,9.7735,8.6118,69.734,11.881,0,0,0,0,0,0,0,0,21.655,31.945,23.762,3.091,9.7735,9.7735,0,3.091,0,30.266,0,6.3603,41.897,0,8.6118,9.7735,0,0,24.837,5.2288,10.458,33.987,25.49,0,0,100,0,0,0,0,100,0,0,0
0,0,0,0,3.1491,89.349,7.5019,0,0,0,0,0,0,0,4.3528,26.534,51.008,14.518,3.5884,0,0,0,3.5884,0,14.518,0,26.973,51.772,0,3.1491,0,0,0,94.068,0,1.6949,0,4.2373,0,0,100,0,0,0,0,100,0,0,0
0,9.8316,0,4.7262,0,67.843,12.873,0,4.7262,0,0,4.7262,0,0,0,10.211,45.913,5.1054,9.6557,5.1054,4.7262,14.558,8.116,9.8316,5.1054,12.873,19.866,34.376,0,5.1054,4.7262,0,0,0,0,0,0,100,0,0,100,0,0,0,0,100,0,0,0
0,0,0,5.5087,0,91.076,3.4155,0,0,0,0,0,0,0,0,18.033,54.188,10.31,4.3005,5.5087,5.5087,2.1503,2.1503,0,12.404,0,14.675,65.263,0,0,5.5087,0,0,89.216,0,0.98039,1.9608,7.8431,0,0,100,0,0,0,0,100,0,0,0
